op,dtype,backend,category,fwd_atol,bwd_atol,fwd_determinism,bwd_determinism,coverage,notes
reshape,F32,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F32,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F32,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F32,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,BF16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,BF16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,BF16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,BF16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
reshape,F16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F32,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F32,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F32,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F32,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,BF16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,BF16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,BF16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,BF16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F16,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F16,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F16,metal,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
transpose,F16,vulkan,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F32,cpu,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
permute,F32,cuda,shape-only,0.0,0.0,constructive,constructive,today,no arithmetic; layout-only.
