step_idx,pos_in_k,base_pos,mtp_pos,last_token,mtp_top1,mtp_top1_logit,main_top1,main_top1_logit,accepted,topk_match
0,0,508,0,25015,264,17.625000,314,25.375000,0,0
1,0,509,0,314,314,24.750000,1330,25.875000,0,0
2,0,510,0,1330,1330,24.250000,47205,24.625000,0,0
3,0,511,0,47205,47205,22.375000,369,24.625000,0,0
4,0,512,0,369,369,26.125000,799,24.875000,0,0
5,0,513,0,799,799,23.125000,30797,24.000000,0,0
6,0,514,0,30797,30797,21.625000,314,24.375000,0,0
7,0,515,0,314,4022,25.625000,4022,24.000000,1,1
8,0,517,1,23043,23043,21.375000,11,23.875000,0,0
9,0,518,1,11,321,27.375000,321,24.250000,1,1
10,0,520,2,421,421,29.625000,3202,25.125000,0,0
11,0,521,2,3202,3202,25.000000,369,25.375000,0,0
12,0,522,2,369,3568,26.750000,3568,27.625000,1,1
13,0,524,3,310,279,30.875000,279,26.375000,1,1
14,0,526,4,3889,6105,17.875000,1330,25.250000,0,0
15,0,527,4,1330,1330,24.375000,47205,24.625000,0,0
16,0,528,4,47205,47205,22.500000,314,25.625000,0,0
17,0,529,4,314,6105,25.000000,6105,24.125000,1,1
18,0,531,5,13,357,19.875000,357,20.875000,1,1
19,0,533,6,60507,60507,23.625000,4829,23.625000,0,0
20,0,534,6,4829,4829,21.500000,1330,24.000000,0,0
21,0,535,6,1330,1330,21.250000,47205,24.500000,0,0
22,0,536,6,47205,47205,23.500000,314,24.625000,0,0
23,0,537,6,314,6105,24.000000,6105,24.250000,1,1
24,0,539,7,23043,23043,24.625000,321,25.250000,0,0
25,0,540,7,321,321,24.250000,4139,25.625000,0,0
26,0,541,7,4139,4139,23.250000,421,26.375000,0,0
27,0,542,7,421,421,28.625000,1691,27.500000,0,0
28,0,543,7,1691,1691,22.000000,4022,24.500000,0,0
29,0,544,7,4022,4022,21.375000,23043,25.625000,0,0
30,0,545,7,23043,23043,24.250000,13,25.250000,0,0
31,0,546,7,13,561,26.000000,561,23.250000,1,1
32,0,548,8,47205,47205,22.250000,513,26.000000,0,0
33,0,549,8,513,14307,24.125000,14307,25.625000,1,1
34,0,551,9,24358,24358,24.500000,494,26.625000,0,0
35,0,552,9,494,1330,24.875000,1330,27.250000,1,1
36,0,554,10,2086,2086,24.125000,30860,24.500000,0,0
37,0,555,10,30860,30860,23.875000,11,25.375000,0,0
38,0,556,10,11,1754,26.500000,1754,26.125000,1,1
39,0,558,11,440,440,24.125000,1141,26.625000,0,0
40,0,559,11,1141,1141,17.875000,1765,27.125000,0,0
41,0,560,11,1765,1765,24.875000,11268,27.000000,0,0
42,0,561,11,11268,11268,21.750000,9412,26.125000,0,0
43,0,562,11,9412,9412,26.000000,13,25.250000,0,0
44,0,563,11,13,1165,25.375000,1165,23.500000,1,1
45,0,565,12,1144,310,22.625000,279,24.500000,0,0
46,0,566,12,279,2702,23.875000,2702,24.875000,1,1
47,0,568,13,1324,1324,27.000000,314,24.625000,0,0
48,0,569,13,314,47205,23.750000,47205,24.500000,1,1
49,0,571,14,2483,310,23.250000,310,25.500000,1,1
50,0,573,15,1236,279,24.375000,264,24.750000,0,0
51,0,574,15,264,3074,25.250000,3074,25.375000,1,1
52,0,576,16,60507,60507,24.250000,364,25.875000,0,0
53,0,577,16,364,364,26.625000,799,26.625000,0,0
54,0,578,16,799,799,24.000000,5813,25.750000,0,0
55,0,579,16,5813,5813,20.125000,506,25.750000,0,0
56,0,580,16,506,506,27.000000,279,24.125000,0,0
57,0,581,16,279,7808,22.500000,7808,24.375000,1,1
58,0,583,17,13,271,20.375000,25015,20.875000,0,0
59,0,584,17,25015,264,17.750000,314,25.500000,0,0
60,0,585,17,314,314,25.125000,1330,25.750000,0,0
61,0,586,17,1330,1330,23.750000,47205,24.625000,0,0
62,0,587,17,47205,47205,22.375000,369,24.625000,0,0
63,0,588,17,369,369,26.125000,799,24.875000,0,0
64,0,589,17,799,799,23.125000,30797,25.000000,0,0
65,0,590,17,30797,30797,23.500000,314,24.750000,0,0
66,0,591,17,314,4022,25.375000,4022,24.875000,1,1
67,0,593,18,23043,23043,21.875000,11,24.000000,0,0
68,0,594,18,11,321,27.625000,321,24.750000,1,1
69,0,596,19,421,421,30.125000,3202,25.250000,0,0
70,0,597,19,3202,3202,25.875000,369,25.500000,0,0
71,0,598,19,369,3568,26.750000,3568,26.000000,1,1
72,0,600,20,310,279,30.750000,279,25.750000,1,1
73,0,602,21,3889,2702,22.750000,1330,25.375000,0,0
74,0,603,21,1330,1330,24.625000,47205,25.250000,0,0
75,0,604,21,47205,47205,23.375000,314,25.625000,0,0
76,0,605,21,314,6105,25.125000,6105,24.625000,1,1
77,0,607,22,13,357,20.250000,357,21.125000,1,1
78,0,609,23,60507,60507,23.625000,4829,23.750000,0,0
79,0,610,23,4829,4829,21.500000,1330,24.000000,0,0
80,0,611,23,1330,1330,21.250000,47205,24.500000,0,0
81,0,612,23,47205,47205,23.625000,314,24.500000,0,0
82,0,613,23,314,6105,24.000000,4829,21.000000,0,0
83,0,614,23,4829,4829,18.750000,1330,19.500000,0,0
84,0,615,23,1330,47205,15.250000,47205,20.875000,1,1
85,0,617,24,314,6105,18.500000,6105,21.250000,1,1
86,0,619,25,23043,23043,20.125000,321,22.500000,0,0
87,0,620,25,321,4829,19.500000,4139,21.750000,0,0
88,0,621,25,4139,4139,18.625000,421,22.000000,0,0
89,0,622,25,421,421,20.875000,1691,20.750000,0,0
90,0,623,25,1691,1691,19.125000,4022,21.125000,0,0
91,0,624,25,4022,23043,17.125000,23043,21.750000,1,1
92,0,626,26,13,561,20.875000,561,20.750000,1,1
93,0,628,27,47205,47205,18.875000,513,22.750000,0,0
94,0,629,27,513,14307,18.875000,14307,22.125000,1,1
95,0,631,28,24358,494,20.000000,494,23.375000,1,1
96,0,633,29,1330,2086,20.625000,2086,22.500000,1,1
