Generating SQLite file /tmp/kiln-post468-mtp.sqlite from /tmp/kiln-post468-mtp.nsys-rep
Processing [/tmp/kiln-post468-mtp.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

              Range                Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 -------------------------------  -------  --------------------  ---------------------  ---------------  -------------  -------------  -------------  -------------  ----------------  -------------  -----------  -------------  -------------
 :kiln/gdn/qk_norm                PushPop            1003173732             1064670082             2352       426519.4       154673.0          51232      658188510        13568682.1          39984         17.0            0.0            0.0
 :kiln/gdn/conv                   PushPop             975299616             1298270078             2352       414668.2       114656.5           3456      712412736        14688036.2          55680         23.7            0.0            0.0
 :kiln/gdn/gates                  PushPop             482496091              527160064             2352       205142.9       205217.0          68000         560163           31409.3          53040         22.6            0.0            0.0
 :kiln/gdn/gated_norm             PushPop             473290806              492908753             2352       201229.1       195920.5         170817         560515           40750.7          48864         20.8            0.0            0.0
 :kiln/gdn/in_proj                PushPop             335179003              300886583             2352       142508.1       141601.0         109408        8303885          198991.4          10512          4.5            0.0            0.0
 :kiln/mtp/step                   PushPop             269372060              146105647               75      3591627.5      3093681.0        2527758       51522330         5615708.5           8281        110.4            0.0           17.0
 :kiln/mlp/down                   PushPop             248720938               82828512             3211        77459.0        75041.0          72512         347554           27033.6           6422          2.0            0.0            0.0
 :kiln/mlp/gate                   PushPop             240359105               65919160             3211        74854.9        70305.0          69888         296290           22568.6           3990          1.2            0.0            0.0
 :kiln/mlp/up                     PushPop             239882782               61405473             3211        74706.6        70401.0          69888         293666           22261.9           3990          1.2            0.0            0.0
 :kiln/attn/rope                  PushPop             239764693              313446740              859       279120.7       271394.0         133920         587555           45808.9          32942         38.3            0.1            0.0
 :kiln/lm_head                    PushPop             176442750                3340130               98      1800436.2      1798986.0        1793930        1813386            4689.7            121          1.2            0.0            0.0
 :kiln/attn/full/prefill          PushPop             163594163              124869781              600       272656.9       271985.5         252481         476643           14869.9          11400         19.0            0.0            1.0
 :kiln/mtp/lm_head                PushPop             135482743                1982494               75      1806436.6      1806378.0        1804554        1809514             942.2            150          2.0            1.0            0.0
 :kiln/gdn/out_proj               PushPop              93908033               57809318             2352        39926.9        37600.0          37024         164257           12676.6           2904          1.2            0.0            0.0
 :kiln/proj/qkv                   PushPop              80379896               59187015              859        93573.8        92288.0          89537         266722           16757.4           4279          5.0            0.1            0.0
 :kiln/attn/gdn/chunk_prep        PushPop              76179582              111399082             1824        41765.1        40480.0          17568         304322            9148.9          12768          7.0            0.0            0.0
 :kiln/gdn/qkv_split              PushPop              71651227               97415524             1824        39282.5        37408.0          16032         307234           18247.6          10944          6.0            0.0            0.0
 :kiln/gdn/head_expand            PushPop              50175996               85327027             2352        21333.3        21536.0          11264         138913           12703.2           9408          4.0            0.0            0.0
 :kiln/attn/full/decode_fused     PushPop              40366116               28884308              176       229352.9       228497.5         213889         246689           10840.5           2464         14.0            0.0            1.0
 :kiln/norm/pre_mlp               PushPop              35845163               59992843             3211        11163.2        11744.0           8160          33920            1751.8           6422          2.0            0.0            0.0
 :kiln/attn/gdn/chunk             PushPop              33481613               48164799             1824        18356.1        17600.0          12577         212737            5116.9           5472          3.0            0.0            0.0
 :kiln/proj/o                     PushPop              31778431               21935177              859        36994.7        35297.0          34016         168065           12369.4           1118          1.3            1.1            0.0
 :kiln/norm/pre_attn              PushPop              28608177               62363832             3211         8909.4         8352.0           8000        1071558           19193.6           6422          2.0            0.0            0.0
 :kiln/attn/full/prefill_initial  PushPop              26656910               34502388                8      3332113.8       618515.0         616611       22329560         7676127.6            176         22.0            0.0            2.0
 :kiln/attn/full/decode_fallback  PushPop              26259084               29778043               75       350121.1       256577.0          95392       10497817         1189958.7           1575         21.0            1.0            1.0
 :kiln/residual                   PushPop              13565439              102041643             6422         2112.3         1984.0           1760          16640            1386.9           6422          1.0            0.0            0.0
 :kiln/proj/qkv_split             PushPop              11696388               37775459              859        13616.3        12609.0          10784         124097           10697.9           3436          4.0            0.1            0.0
 :kiln/attn/gdn/recurrent         PushPop              11566040               10969557              528        21905.4        21568.0          20640          88032            3132.8           1056          2.0            0.0            0.0
 :kiln/attn/qk_norm               PushPop               7823286               28622575              859         9107.4         8225.0           7712          40896            3624.4           3436          4.0            0.1            0.0
 :kiln/kv/copy                    PushPop               5658381               12320754              784         7217.3         6784.0           6047          31712            1712.3           1568          2.0            0.0            0.0
 :kiln/attn/qkv_transpose         PushPop               4346045               10479625              608         7148.1         6272.0           5344          59744            6048.8           1216          2.0            0.0            0.0
 :kiln/mtp/fc                     PushPop               3563480                2516958               75        47513.1        48577.0          43776          52096            2142.5            150          2.0            1.0            0.0
 :kiln/gdn/recur_prep             PushPop               3444986               21596905             2352         1464.7         1248.0           1184          23360            2186.0           2352          1.0            0.0            0.0
 :kiln/mtp/pre_fc_norm_hidden     PushPop                835041                1079426               75        11133.9        11520.0           9024          15936            1395.0            150          2.0            1.0            0.0
