Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
23.1,228914511,408,561065.0,90250.0,70991,170135033,8445171.3,:kiln/gdn/in_proj
10.7,105948063,408,259676.6,227956.0,207621,817653,111301.7,:kiln/gdn/gates
9.2,91548338,408,224383.2,214210.5,198150,654722,40171.3,:kiln/gdn/gated_norm
8.9,87826282,408,215260.5,180825.5,169530,6410858,314098.9,:kiln/gdn/qk_norm
6.0,59731431,136,439201.7,383111.0,364951,1227143,190786.7,:kiln/attn/rope
6.0,59549075,17,3502886.8,57090.0,51220,58621403,14203717.8,:kiln/lm_head
5.7,56796102,8,7099512.8,501986.5,471332,53323989,18677519.2,:kiln/attn/full/prefill_initial
4.4,43873712,544,80650.2,58655.0,51890,4834824,210345.6,:kiln/mlp/gate
4.0,39610691,544,72813.8,57645.0,50890,389791,63216.7,:kiln/mlp/up
3.4,33305536,544,61223.4,54730.0,49170,370101,36185.9,:kiln/mlp/down
2.3,22920228,128,179064.3,175295.5,165970,426841,23659.4,:kiln/attn/full/decode_fused
1.9,18907071,408,46340.9,43520.0,35100,739112,35202.6,:kiln/gdn/head_expand
1.8,18237550,136,134099.6,113205.5,107000,414121,68289.6,:kiln/proj/qkv
1.8,17698462,1088,16267.0,15945.0,12060,93870,3719.0,:kiln/residual
1.5,14959095,408,36664.4,34850.5,24900,221051,13241.6,:kiln/gdn/out_proj
1.3,13359220,408,32743.2,22870.0,19200,2981338,146634.1,:kiln/gdn/conv
1.2,11678996,544,21468.7,19910.0,17370,400911,16707.4,:kiln/norm/pre_mlp
1.2,11387785,544,20933.4,17655.0,15570,1384904,58672.9,:kiln/norm/pre_attn
0.9,9158736,384,23850.9,22805.0,20380,117810,6166.2,:kiln/attn/gdn/recurrent
0.8,8356783,384,21762.5,20755.0,17670,56500,4618.2,:kiln/gdn/conv/update
0.6,5965470,136,43863.8,43085.0,38230,99670,5715.7,:kiln/proj/qkv_split
0.5,4773215,136,35097.2,34445.0,24950,98731,7349.3,:kiln/proj/o
0.5,4647346,136,34171.7,33000.0,30930,69821,4062.2,:kiln/attn/qk_norm
0.4,4342462,408,10643.3,9555.0,8660,195451,9470.3,:kiln/gdn/recur_prep
0.4,4155980,136,30558.7,18815.0,15640,263770,48938.7,:kiln/kv/copy
0.3,3268786,408,8011.7,1520.0,1290,261540,31934.4,:kiln/gdn/qkv_split
0.3,3099444,24,129143.5,24255.0,19721,2531067,511615.9,:kiln/gdn/conv/prefill_update
0.3,2576968,24,107373.7,99375.5,88091,212341,25012.8,:kiln/attn/gdn/chunk_prep
0.1,1285322,408,3150.3,520.0,380,438921,22448.0,:kiln/gdn/conv/layout
0.1,923933,24,38497.2,35760.5,25940,97441,13639.6,:kiln/attn/gdn/chunk
0.1,590980,384,1539.0,1420.0,920,11030,697.2,:kiln/attn/gdn/precopy
0.0,233350,136,1715.8,480.0,390,22900,4810.1,:kiln/attn/qkv_transpose
0.0,221061,408,541.8,450.0,290,9650,545.1,:kiln/gdn/post_transpose
0.0,61710,128,482.1,400.0,270,6020,629.4,:kiln/attn/q_fa_transpose
