NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,23572,23572,0,1401,199613625,142479.4,9888.0,2752,96722427,2588199.1,ucopy_bf16
,,23572,23572,0,168,58890315,350537.6,350288.5,349728,356801,775.9,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
,,23572,23572,0,3200,38506460,12033.3,4288.0,4224,250560,42238.3,cast_bf16_f32
,,23572,23572,0,3096,18226808,5887.2,5856.0,5696,7872,147.6,cast_f32_bf16
,,23572,23572,0,129,17523669,135842.4,135905.0,132416,141280,1435.9,fast_argmax_bf16
,,23572,23572,0,8280,15614076,1885.8,1504.0,1280,54752,4605.4,bmul_bf16
,,23572,23572,0,4128,7374343,1786.4,1440.0,1408,48480,4077.2,urecip_bf16
,,23572,23572,0,4128,7371785,1785.8,1440.0,1408,47648,4015.5,uexp_bf16
,,23572,23572,0,4128,7206441,1745.7,1408.0,1376,46176,3893.3,affine_bf16
,,23572,23572,0,4128,7142155,1730.2,1376.0,1344,46336,3909.1,uneg_bf16
,,23572,23572,0,720,3448645,4789.8,5248.0,3936,5920,659.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,23572,23572,0,192,813696,4238.0,4320.0,3520,4544,255.4,copy2d_bf16
,,23572,23572,0,129,374464,2902.8,2720.0,2656,24512,1918.2,is_u32_bf16
,,23572,23572,0,129,359392,2786.0,2784.0,2720,3424,60.9,bmul_f32
,,23572,23572,0,48,222560,4636.7,4640.0,4448,4864,113.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
,,23572,23572,0,129,187232,1451.4,1440.0,1440,1600,21.1,usin_f32
,,23572,23572,0,129,184512,1430.3,1440.0,1408,1632,24.5,ucos_f32
,,23572,23572,0,24,142496,5937.3,5920.0,5856,6080,63.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align2>(T1::Params)
,,23572,23572,0,24,125120,5213.3,5216.0,5024,5280,46.1,badd_bf16
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,2048,128162352,62579.3,62496.0,55552,69920,4060.2,ucopy_bf16
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,37478345,36599.9,36608.0,35616,38016,457.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,29600391,28906.6,28352.0,25440,31616,1834.2,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,2098051,2048.9,2048.0,1888,2272,43.4,uneg_bf16
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,1730082,1689.5,1696.0,1664,1824,23.4,uexp_bf16
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,1557027,1520.5,1536.0,1408,1664,28.7,bmul_bf16
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,1455234,1421.1,1408.0,1376,1536,16.9,urecip_bf16
:kiln/attn/full/decode_fused,PushPop,23572,23572,1024,1024,1386339,1353.8,1344.0,1312,1472,16.5,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,40,1645381,41134.5,55424.0,15296,59936,21352.9,ucopy_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,669856,83732.0,83840.0,83328,84032,267.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,473088,59136.0,59136.0,58336,60064,641.6,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,200192,25024.0,25056.0,24608,25472,287.7,bmul_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,180544,22568.0,22608.0,22336,22688,113.1,urecip_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,179329,22416.1,22432.5,22272,22496,83.8,uexp_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,172512,21564.0,21584.0,21440,21664,82.8,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,8,169568,21196.0,21184.0,21056,21376,98.2,uneg_bf16
:kiln/attn/full/prefill_initial,PushPop,23572,23572,8,16,115360,7210.0,7184.0,7040,7360,106.3,copy2d_bf16
:kiln/attn/gdn/chunk,PushPop,23572,23572,24,24,2694213,112258.9,112256.5,112096,112320,52.5,"void <unnamed>::gdn_chunk_scan_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/chunk_prep,PushPop,23572,23572,24,24,321505,13396.0,13408.0,13344,13472,39.8,"void <unnamed>::gdn_chunk_prep_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/recurrent,PushPop,23572,23572,3072,3072,46699991,15201.8,15200.0,15040,16288,75.8,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/qk_norm,PushPop,23572,23572,1032,2064,3722438,1803.5,1728.0,1600,21472,1254.7,"<unnamed>::fused_rmsnorm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
:kiln/attn/qkv_transpose,PushPop,23572,23572,8,8,441344,55168.0,55152.0,55136,55232,38.2,ucopy_bf16
:kiln/attn/rope,PushPop,23572,23572,1032,8256,23852607,2889.1,2848.0,2720,10048,424.0,bmul_f32
:kiln/attn/rope,PushPop,23572,23572,1032,6192,16485943,2662.5,2592.0,2272,54080,1941.4,ucopy_f32
:kiln/attn/rope,PushPop,23572,23572,1032,2064,6096259,2953.6,2752.0,2528,60832,3661.1,cast_f32_bf16
:kiln/attn/rope,PushPop,23572,23572,1032,2064,3025029,1465.6,1568.0,1248,3488,207.5,bsub_f32
:kiln/attn/rope,PushPop,23572,23572,1032,2064,2994916,1451.0,1536.0,1248,3456,197.9,badd_f32
:kiln/attn/rope,PushPop,23572,23572,1032,2064,2814307,1363.5,1280.0,1216,22720,1368.1,cast_bf16_f32
:kiln/gdn/conv,PushPop,23572,23572,3072,3072,5226185,1701.2,1664.0,1600,1952,63.8,"void <unnamed>::kiln_conv1d_update_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int)"
:kiln/gdn/conv,PushPop,23572,23572,24,24,2552452,106352.2,106305.0,105664,106912,370.2,ucopy_bf16
:kiln/gdn/conv,PushPop,23572,23572,24,24,1027395,42808.1,42816.0,42496,43169,151.2,"void <unnamed>::kiln_conv1d_prefill_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int, int)"
:kiln/gdn/conv/layout,PushPop,23572,23572,24,24,2552452,106352.2,106305.0,105664,106912,370.2,ucopy_bf16
:kiln/gdn/conv/prefill_update,PushPop,23572,23572,24,24,1027395,42808.1,42816.0,42496,43169,151.2,"void <unnamed>::kiln_conv1d_prefill_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int, int)"
:kiln/gdn/conv/update,PushPop,23572,23572,3072,3072,5226185,1701.2,1664.0,1600,1952,63.8,"void <unnamed>::kiln_conv1d_update_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int)"
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,12384,34026751,2747.6,3232.0,1344,71200,4722.5,bmul_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,9288,12778672,1375.8,1312.0,1184,27616,1313.3,affine_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,6192,9414153,1520.4,1216.0,1184,56544,3672.7,cast_bf16_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,6192,9058156,1462.9,1376.0,1280,27744,1620.6,urecip_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,3096,8340234,2693.9,2368.0,2336,42688,3520.0,fast_sum_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,3096,5035174,1626.3,1440.0,1408,27744,2262.2,uexp_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,3096,4894694,1581.0,1376.0,1344,27264,2241.6,uneg_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,3096,4778630,1543.5,1344.0,1312,27264,2258.6,usqr_f32
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,3096,4599556,1485.6,1312.0,1280,23936,1931.9,cast_f32_bf16
:kiln/gdn/gated_norm,PushPop,23572,23572,3096,3096,3990659,1289.0,1280.0,1248,1536,28.6,usqrt_f32
:kiln/gdn/gates,PushPop,23572,23572,3096,9288,12584110,1354.9,1280.0,1216,3744,178.4,badd_f32
:kiln/gdn/gates,PushPop,23572,23572,3096,9288,11640012,1253.2,1248.0,1184,1504,36.9,uneg_f32
:kiln/gdn/gates,PushPop,23572,23572,3096,6192,8607559,1390.1,1472.0,1216,1824,155.8,bmaximum_f32
:kiln/gdn/gates,PushPop,23572,23572,3096,6192,8472842,1368.4,1376.0,1312,1568,49.0,uexp_f32
:kiln/gdn/gates,PushPop,23572,23572,3096,6192,8009131,1293.5,1280.0,1216,1696,53.2,cast_bf16_f32
