Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
14.6,713409934,3096,230429.6,220244.0,196659,5977035,121307.8,:kiln/gdn/gates
14.0,682858566,3096,220561.6,212089.0,189169,4472394,97440.1,:kiln/gdn/gated_norm
11.8,577127698,3096,186410.8,180829.0,162549,4779472,86852.1,:kiln/gdn/qk_norm
9.4,459206456,3096,148322.5,89300.0,79789,172954501,3108184.3,:kiln/gdn/in_proj
8.4,408416403,1032,395752.3,383687.5,345878,3284131,103855.5,:kiln/attn/rope
5.1,249054391,4128,60332.9,58620.0,51379,916765,18902.2,:kiln/mlp/gate
5.0,246435760,4128,59698.6,57590.0,49869,373668,17215.7,:kiln/mlp/up
4.6,226878747,4128,54960.9,53630.0,47210,435457,11734.8,:kiln/mlp/down
3.8,184313038,1024,179993.2,177079.0,157709,416848,18359.7,:kiln/attn/full/decode_fused
2.9,143131245,3096,46231.0,44629.0,34850,1107773,22510.5,:kiln/gdn/head_expand
2.8,134496186,8256,16290.7,15920.0,11970,226769,4147.4,:kiln/residual
2.5,119905328,1032,116187.3,114629.0,96400,476627,17405.0,:kiln/proj/qkv
2.3,112713026,3096,36406.0,35650.0,23749,217229,6216.5,:kiln/gdn/out_proj
1.7,85306057,4128,20665.2,20109.5,16730,106519,3135.5,:kiln/norm/pre_mlp
1.6,76933371,4128,18637.0,17430.0,14820,1106314,18316.8,:kiln/norm/pre_attn
1.6,76757483,3072,24986.2,23340.0,19850,1810989,33649.5,:kiln/attn/gdn/recurrent
1.5,74165896,3096,23955.4,22494.5,19110,315628,8778.4,:kiln/gdn/conv
1.3,64176162,3072,20890.7,19890.0,17500,224589,5784.6,:kiln/gdn/conv/update
1.0,47348763,8,5918595.4,958780.0,250238,42021175,14591195.4,:kiln/attn/full/prefill_initial
0.9,43942864,1032,42580.3,41624.5,38470,88040,3947.5,:kiln/proj/qkv_split
0.8,36730041,1032,35591.1,35279.0,30040,74119,4028.4,:kiln/attn/qk_norm
0.7,35123907,1032,34034.8,33229.5,24339,267799,8208.6,:kiln/proj/o
0.7,32860986,3096,10614.0,10010.0,8640,203468,4417.3,:kiln/gdn/recur_prep
0.4,18779129,1032,18196.8,17325.0,15190,96310,4049.7,:kiln/kv/copy
0.2,7556074,129,58574.2,54669.0,47480,334058,30115.5,:kiln/lm_head
0.1,7289626,3096,2354.5,1740.0,1380,117430,5614.2,:kiln/gdn/qkv_split
0.1,5647273,3072,1838.3,1640.0,980,70999,1468.2,:kiln/attn/gdn/precopy
0.1,4032613,24,168025.5,220043.5,26050,288439,117796.4,:kiln/attn/gdn/chunk
0.1,3780132,3096,1221.0,790.0,440,85430,3069.2,:kiln/gdn/conv/layout
0.0,2358321,3096,761.7,590.0,300,9240,495.7,:kiln/gdn/post_transpose
0.0,1999661,24,83319.2,69110.0,64839,245539,38833.8,:kiln/attn/gdn/chunk_prep
0.0,1793570,1032,1738.0,670.0,430,180009,12420.7,:kiln/attn/qkv_transpose
0.0,779920,24,32496.7,22829.5,20259,220438,40474.9,:kiln/gdn/conv/prefill_update
0.0,698797,1024,682.4,450.0,240,8450,734.1,:kiln/attn/q_fa_transpose
0.0,674294,1024,658.5,450.0,170,8100,759.4,:kiln/attn/paged_decode_contiguous

