NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,17249,17249,0,13385,245668393,18354.0,2848.0,1920,97323822,843355.3,ucopy_bf16
,,17249,17249,0,192,66128699,344420.3,350241.0,328225,354657,9991.2,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
,,17249,17249,0,7944,42907198,5401.2,1536.0,1312,55840,7871.6,bmul_bf16
,,17249,17249,0,2557,36131995,14130.6,4288.0,3552,250529,47605.9,cast_bf16_f32
,,17249,17249,0,149,24201844,162428.5,108992.0,103616,221313,57127.8,fast_argmax_f32
,,17249,17249,0,4368,16247296,3719.6,3520.0,3392,5856,549.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,17249,17249,0,2304,13639547,5919.9,5888.0,5728,7648,158.6,cast_f32_bf16
,,17249,17249,0,3552,10799081,3040.3,2976.5,2784,3424,230.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
,,17249,17249,0,1800,8892669,4940.4,4928.0,4864,5312,38.2,badd_bf16
,,17249,17249,0,1776,7023635,3954.7,3968.0,3872,4064,31.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align2>(T1::Params)
,,17249,17249,0,3072,5898224,1920.0,1408.0,1376,50400,4852.1,urecip_bf16
,,17249,17249,0,3072,5870733,1911.0,1408.0,1344,49344,4777.1,uexp_bf16
,,17249,17249,0,3072,5728020,1864.6,1408.0,1312,47744,4615.8,affine_bf16
,,17249,17249,0,3072,5703729,1856.7,1376.0,1312,48129,4664.8,uneg_bf16
,,17249,17249,0,216,858531,3974.7,4288.0,1536,4448,840.1,copy2d_bf16
,,17249,17249,0,96,277248,2888.0,2656.0,2368,26080,2395.6,is_u32_bf16
,,17249,17249,0,72,270849,3761.8,3424.0,3008,4961,698.2,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params)
,,17249,17249,0,96,267969,2791.3,2784.0,2656,3392,77.1,bmul_f32
,,17249,17249,0,96,138880,1446.7,1440.0,1408,1632,23.2,ucos_f32
,,17249,17249,0,96,135360,1410.0,1408.0,1376,1696,41.5,usin_f32
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,2565125,34663.9,34656.0,34464,35040,91.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,148,431457,2915.3,2912.0,2816,3008,49.1,ucopy_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,148,203936,1377.9,1376.0,1312,1408,29.0,uexp_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,148,199521,1348.1,1344.0,1280,1408,29.0,affine_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,152929,2066.6,2080.0,2048,2080,15.9,fast_max_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,152416,2059.7,2048.0,2048,2080,15.5,fast_sum_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,145984,1972.8,1984.0,1952,1984,15.4,"void gemvNSP_kernel<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (int)1, (int)32, (int)4, (int)1024, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T10)"
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,115680,1563.2,1568.0,1408,1600,28.4,bdiv_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,115201,1556.8,1536.0,1472,1632,34.1,bmul_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,113696,1536.4,1536.0,1504,1568,9.9,"void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)"
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,112162,1515.7,1504.0,1344,1537,26.8,bsub_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,106784,1443.0,1440.0,1408,1472,13.2,urecip_bf16
:kiln/attn/full/decode_fallback,PushPop,17249,17249,74,74,102752,1388.5,1376.0,1376,1408,15.7,uneg_bf16
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,336,22071502,65689.0,65360.0,58528,72449,4275.3,ucopy_bf16
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,6109304,36364.9,36384.0,35520,37408,450.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,5030251,29942.0,30944.0,28160,31840,1482.1,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,348034,2071.6,2080.0,1984,2208,41.2,uneg_bf16
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,285696,1700.6,1696.0,1664,1824,29.1,uexp_bf16
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,263040,1565.7,1568.0,1472,1632,35.3,bmul_bf16
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,240225,1429.9,1440.0,1408,1472,15.7,urecip_bf16
:kiln/attn/full/decode_fused,PushPop,17249,17249,168,168,230272,1370.7,1376.0,1344,1408,15.5,affine_bf16
:kiln/attn/full/prefill,PushPop,17249,17249,592,2960,95760320,32351.5,16352.0,2816,72577,26507.3,ucopy_bf16
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,20732036,35020.3,35024.5,33952,36320,457.7,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,17759207,29998.7,31008.0,28065,33920,1589.6,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,1254631,2119.3,2112.0,1888,2400,42.6,uneg_bf16
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,1019235,1721.7,1728.0,1664,1856,24.5,uexp_bf16
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,936004,1581.1,1568.0,1504,1664,27.8,bmul_bf16
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,857347,1448.2,1440.0,1408,1504,14.9,urecip_bf16
:kiln/attn/full/prefill,PushPop,17249,17249,592,592,827297,1397.5,1408.0,1376,1440,15.3,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,17249,17249,8,40,1695975,42399.4,57680.0,16128,62784,21266.0,ucopy_bf16
:kiln/attn/full/prefill_initial,PushPop,17249,17249,8,8,1255974,156996.8,160128.5,150497,161024,4902.6,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
