NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,16165,16165,0,1401,200382807,143028.4,9888.0,2752,97471870,2608176.8,ucopy_bf16
,,16165,16165,0,168,58910856,350659.9,350401.0,349728,355873,893.5,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
,,16165,16165,0,3200,38744089,12107.5,4288.0,4224,250560,42627.5,cast_bf16_f32
,,16165,16165,0,3096,18232085,5888.9,5856.0,5728,7712,149.6,cast_f32_bf16
,,16165,16165,0,129,17535003,135930.3,135840.0,132288,142944,1553.2,fast_argmax_bf16
,,16165,16165,0,8280,15616527,1886.1,1472.0,1280,54624,4601.2,bmul_bf16
,,16165,16165,0,4128,7378477,1787.4,1440.0,1408,48544,4079.8,urecip_bf16
,,16165,16165,0,4128,7377230,1787.1,1440.0,1408,47616,4017.8,uexp_bf16
,,16165,16165,0,4128,7207271,1745.9,1408.0,1376,46112,3892.2,affine_bf16
,,16165,16165,0,4128,7142469,1730.2,1376.0,1344,46369,3907.0,uneg_bf16
,,16165,16165,0,720,3449833,4791.4,5248.0,3968,5920,658.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,16165,16165,0,192,815200,4245.8,4320.0,3456,4576,261.1,copy2d_bf16
,,16165,16165,0,129,373665,2896.6,2720.0,2624,24416,1910.1,is_u32_bf16
,,16165,16165,0,129,359840,2789.5,2784.0,2720,3424,64.5,bmul_f32
,,16165,16165,0,48,222465,4634.7,4624.0,4448,4864,114.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
,,16165,16165,0,129,187648,1454.6,1440.0,1440,1664,26.2,usin_f32
,,16165,16165,0,129,185120,1435.0,1440.0,1408,1632,27.8,ucos_f32
,,16165,16165,0,24,142400,5933.3,5936.0,5824,6048,70.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align2>(T1::Params)
,,16165,16165,0,24,125376,5224.0,5216.0,5024,5280,50.2,badd_bf16
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,2048,128225613,62610.2,62496.0,55584,69888,4030.1,ucopy_bf16
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,37484150,36605.6,36640.0,35616,37888,462.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,29613961,28919.9,28352.0,25376,31488,1810.8,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,2096929,2047.8,2048.0,1888,2272,42.2,uneg_bf16
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,1730500,1689.9,1696.0,1664,1920,26.0,uexp_bf16
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,1559525,1523.0,1536.0,1440,1696,30.2,bmul_bf16
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,1456064,1421.9,1408.0,1376,1536,18.5,urecip_bf16
:kiln/attn/full/decode_fused,PushPop,16165,16165,1024,1024,1388387,1355.8,1344.0,1312,1472,18.6,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,40,1645696,41142.4,55456.0,15264,59904,21350.7,ucopy_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,669825,83728.1,83856.0,83329,83968,251.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,470688,58836.0,58736.0,57824,59936,743.8,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,200642,25080.3,25184.0,24544,25377,274.1,bmul_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,180450,22556.3,22544.5,22528,22624,35.9,urecip_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,179232,22404.0,22384.0,22240,22592,112.7,uexp_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,172353,21544.1,21552.0,21440,21696,91.6,affine_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,8,169505,21188.1,21184.0,20993,21408,120.0,uneg_bf16
:kiln/attn/full/prefill_initial,PushPop,16165,16165,8,16,115584,7224.0,7200.0,7136,7360,69.6,copy2d_bf16
:kiln/attn/gdn/chunk,PushPop,16165,16165,24,24,2694689,112278.7,112288.0,112160,112352,46.7,"void <unnamed>::gdn_chunk_scan_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/chunk_prep,PushPop,16165,16165,24,24,321760,13406.7,13408.0,13344,13472,40.6,"void <unnamed>::gdn_chunk_prep_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/recurrent,PushPop,16165,16165,3072,3072,46717529,15207.5,15200.0,15040,16320,116.1,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/qk_norm,PushPop,16165,16165,1032,2064,3725382,1804.9,1728.0,1600,21248,1250.4,"<unnamed>::fused_rmsnorm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
:kiln/attn/qkv_transpose,PushPop,16165,16165,8,8,441888,55236.0,55232.0,55168,55328,52.5,ucopy_bf16
:kiln/attn/rope,PushPop,16165,16165,1032,8256,23863721,2890.5,2848.0,2688,10048,424.0,bmul_f32
:kiln/attn/rope,PushPop,16165,16165,1032,6192,16492055,2663.4,2592.0,2272,54432,1945.3,ucopy_f32
:kiln/attn/rope,PushPop,16165,16165,1032,2064,6096070,2953.5,2752.0,2528,60864,3657.7,cast_f32_bf16
:kiln/attn/rope,PushPop,16165,16165,1032,2064,3024002,1465.1,1568.0,1248,3488,207.5,bsub_f32
:kiln/attn/rope,PushPop,16165,16165,1032,2064,2994306,1450.7,1536.0,1248,3456,197.9,badd_f32
:kiln/attn/rope,PushPop,16165,16165,1032,2064,2816903,1364.8,1280.0,1216,22848,1367.0,cast_bf16_f32
:kiln/gdn/conv,PushPop,16165,16165,3072,3072,5223846,1700.5,1696.0,1600,1952,61.5,"void <unnamed>::kiln_conv1d_update_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int)"
:kiln/gdn/conv,PushPop,16165,16165,24,24,2551938,106330.8,106320.0,105664,106848,356.1,ucopy_bf16
:kiln/gdn/conv,PushPop,16165,16165,24,24,1028257,42844.0,42832.5,42624,43168,141.9,"void <unnamed>::kiln_conv1d_prefill_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int, int)"
:kiln/gdn/conv/layout,PushPop,16165,16165,24,24,2551938,106330.8,106320.0,105664,106848,356.1,ucopy_bf16
:kiln/gdn/conv/prefill_update,PushPop,16165,16165,24,24,1028257,42844.0,42832.5,42624,43168,141.9,"void <unnamed>::kiln_conv1d_prefill_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int, int)"
:kiln/gdn/conv/update,PushPop,16165,16165,3072,3072,5223846,1700.5,1696.0,1600,1952,61.5,"void <unnamed>::kiln_conv1d_update_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int)"
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,12384,34038409,2748.6,3232.0,1344,71104,4719.3,bmul_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,9288,12782357,1376.2,1312.0,1184,27840,1313.5,affine_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,6192,9418895,1521.1,1216.0,1184,56608,3672.7,cast_bf16_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,6192,9063630,1463.8,1376.0,1280,27808,1619.8,urecip_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,3096,8343665,2695.0,2368.0,2368,42624,3520.6,fast_sum_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,3096,5037410,1627.1,1440.0,1408,27840,2266.8,uexp_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,3096,4896676,1581.6,1376.0,1344,27136,2240.7,uneg_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,3096,4781638,1544.5,1344.0,1312,27328,2260.0,usqr_f32
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,3096,4597065,1484.8,1312.0,1280,23776,1927.8,cast_f32_bf16
:kiln/gdn/gated_norm,PushPop,16165,16165,3096,3096,3993539,1289.9,1280.0,1248,1536,29.3,usqrt_f32
:kiln/gdn/gates,PushPop,16165,16165,3096,9288,12582704,1354.7,1280.0,1216,3776,178.2,badd_f32
:kiln/gdn/gates,PushPop,16165,16165,3096,9288,11643766,1253.6,1248.0,1184,1536,37.9,uneg_f32
