Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
11.1,30769700973,124480,247185.9,240980.0,227990,37409351,116179.5,kiln/norm/pre_attn
11.0,30645657966,93360,328252.5,323191.0,302140,4276805,34626.2,kiln/gdn/gates
11.0,30494764796,124480,244977.2,240001.0,227180,5117707,35309.4,kiln/norm/pre_mlp
10.7,29863488278,93360,319874.6,308741.0,291080,61983003,214369.6,kiln/gdn/gated_norm
8.8,24501838625,93360,262444.7,254961.0,239640,21651069,86199.5,kiln/gdn/qk_norm
8.4,23233958770,93360,248864.2,227490.0,213621,67260180,292237.5,kiln/gdn/conv
7.6,21126845213,93360,226294.4,220040.0,212831,161049257,528083.9,kiln/gdn/in_proj
5.6,15581146336,124480,125169.9,123080.0,118520,4339376,25397.6,kiln/mlp/gate
5.3,14613113509,124480,117393.3,115440.0,112340,4800916,22610.4,kiln/mlp/up
4.7,13042125777,124480,104772.9,102980.0,100420,3665275,15840.4,kiln/mlp/down
3.0,8280479749,3890,2128658.0,2088883.0,2074253,6291768,374265.6,kiln/lm_head
2.7,7450884307,93360,79808.1,78670.0,74300,644311,8917.7,kiln/gdn/out_proj
2.4,6638575163,248960,26665.2,24410.0,21130,2045332,16556.2,kiln/residual
2.1,5770495417,31120,185427.2,182050.0,174700,4362526,30617.8,kiln/proj/qkv
1.7,4791407318,93360,51321.8,49320.0,46061,4217846,19419.6,kiln/gdn/head_expand
1.6,4516964263,92544,48808.8,48251.0,45010,2004632,9539.4,kiln/attn/gdn/recurrent
0.8,2279588003,31120,73251.5,72030.0,69001,281230,8234.0,kiln/proj/o
0.6,1568572229,93360,16801.3,15830.0,14280,2255293,16110.5,kiln/gdn/recur_prep
0.2,597616626,1032,579085.9,570855.5,533591,2399933,91431.9,kiln/attn/rope
0.2,530882062,6528,81323.8,80900.0,71350,1896763,23920.1,kiln/attn/gdn/chunk
0.2,522156461,1032,505965.6,502330.5,465441,979882,43020.4,kiln/attn/qk_norm
0.1,366861629,93360,3929.5,1640.0,1290,858641,24887.5,kiln/gdn/qkv_split
0.1,261986052,1024,255845.8,252990.0,239220,450081,20727.7,kiln/attn/full/decode_fused
0.1,151755116,92544,1639.8,1530.0,1000,204580,1471.1,kiln/attn/gdn/precopy
0.0,123937466,1032,120094.4,29880.0,27350,11950546,1009248.8,kiln/kv/copy
0.0,61535741,93360,659.1,580.0,250,197471,1331.9,kiln/gdn/post_transpose
0.0,57204855,1032,55431.1,53500.0,49980,240081,12643.5,kiln/proj/qkv_split
0.0,40143863,8,5017982.9,764556.0,753901,34785826,12028031.3,kiln/attn/full/prefill
0.0,2213581,1032,2144.9,820.0,610,158140,13510.0,kiln/attn/qkv_transpose
0.0,559650,1024,546.5,470.0,270,7980,392.6,kiln/attn/q_fa_transpose
