Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.3,38359894385,183569,208967.2,71584.0,2624,96690948,329830.0,ucopy_bf16
11.5,7560556444,71760,105358.9,77728.0,74944,1813097,212859.7,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
6.3,4161483686,88320,47118.2,39584.0,10272,79040,23888.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
3.6,2343058040,35328,66323.0,67201.0,62688,68608,1744.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
2.6,1692538819,454152,3726.8,3008.0,1312,120257,9400.2,bmul_f32
1.7,1122198883,198748,5646.3,5696.0,2367,52000,5423.3,fast_sum_f32
1.6,1032705534,26496,38975.9,38432.0,37344,41408,1052.9,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
1.2,779583555,393733,1980.0,1567.0,1152,64705,3092.5,cast_bf16_f32
1.0,652578355,288281,2263.7,1440.0,1151,68704,3031.9,cast_f32_bf16
1.0,631222594,398545,1583.8,1408.0,1215,56993,2345.5,affine_f32
0.9,587152131,136674,4296.0,3072.0,2240,75809,7876.3,ucopy_f32
0.8,537649416,2116,254087.6,211249.5,185601,5076538,458740.7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
0.8,523094550,114634,4563.2,1952.0,1503,60544,7031.6,bmul_bf16
0.7,469855561,192365,2442.5,1697.0,1247,79584,7536.1,badd_f32
0.7,447718359,26496,16897.6,17088.0,14816,17952,573.6,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.5,331302993,172252,1923.4,1505.0,1280,29568,3052.9,usqr_f32
0.5,321234833,172251,1864.9,1632.0,1280,60032,3384.0,urecip_f32
0.4,285077226,54042,5275.1,3903.0,3169,79008,9523.8,bdiv_f32
0.4,262631598,172252,1524.7,1536.0,1248,2400,73.9,usqrt_f32
0.4,246900756,89370,2762.7,3009.0,1375,3424,563.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.4,238551367,124871,1910.4,1568.0,1247,57344,3827.1,uexp_f32
0.4,234147618,135104,1733.1,1408.0,1183,56481,3635.2,uneg_f32
0.3,229647172,80611,2848.8,2080.0,1855,160961,6985.0,badd_bf16
0.3,220952164,4197,52645.3,53760.0,41121,58048,3409.9,"<unnamed>::gdn_fwd_sub_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.3,188269015,1396,134863.2,128945.0,78528,198145,48037.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
0.3,170226784,72053,2362.5,1792.0,1343,61088,5560.5,urecip_bf16
0.3,168875886,80539,2096.8,1536.0,1312,52065,4929.2,uexp_bf16
0.3,166080656,80539,2062.1,1504.0,1280,50561,4769.3,affine_bf16
0.2,162165522,52992,3060.2,3008.0,2527,3585,267.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
0.2,159795954,1125,142040.8,143393.0,129857,149056,4127.4,fast_argmax_bf16
0.2,156968061,72053,2178.5,1760.0,1311,50848,4658.5,uneg_bf16
0.2,122514530,54042,2267.0,1728.0,1503,58176,5366.9,copy2d_f32
0.2,120215918,91190,1318.3,1344.0,1087,1856,75.5,const_set_f32
0.2,115991531,23085,5024.5,5152.0,3712,6945,759.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
0.1,95308407,52992,1798.5,1792.0,1567,1953,79.6,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,83292322,54042,1541.3,1536.0,1247,2016,166.6,bmaximum_f32
0.1,72339743,12683,5703.7,3968.0,2784,142272,14686.7,bsub_bf16
0.1,67564784,7296,9260.5,9280.0,7264,11264,681.6,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.1,66413104,26406,2515.1,1760.0,1311,6080,1430.3,bsub_f32
0.1,57885875,8486,6821.3,4224.0,3775,147904,18589.1,bdiv_bf16
0.1,57450895,525,109430.3,110881.0,97984,117985,4793.2,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn
0.1,56950014,30284,1880.5,1440.0,1280,5952,1097.5,copy2d_bf16
0.1,51633808,8486,6084.6,4256.0,3007,112000,13909.4,fast_sum_bf16
0.1,51541572,8486,6073.7,4224.0,2976,112192,13931.4,fast_max_bf16
0.1,43753209,4160,10517.6,10528.0,9568,11584,342.6,"void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (int)128, (int)16, (int)4, (int)4, (bool)0, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13, T6, T6)"
0.1,39724543,27021,1470.1,1472.0,1311,1728,52.7,ulog_f32
0.1,36962764,3136,11786.6,11808.0,10529,12704,390.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align2>(T1::Params)
0.0,24007382,8394,2860.1,2816.0,2368,3392,231.4,ge_u32
0.0,22908614,4197,5458.3,5504.0,4800,6176,250.3,ampere_sgemm_32x128_nn
0.0,15881290,512,31018.1,31296.0,27456,31776,996.6,"void kiln_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
0.0,14252556,9006,1582.6,1600.0,1408,1824,54.9,ucos_f32
0.0,14146978,9006,1570.8,1569.0,1407,1760,53.6,usin_f32
0.0,12150219,8394,1447.5,1471.0,1280,1633,58.0,cast_u8_bf16
0.0,12119347,4197,2887.6,2912.0,2528,3200,126.2,gt_u32
0.0,11165618,896,12461.6,12480.0,11392,13375,336.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
0.0,10787249,348,30997.8,31104.0,28800,32992,784.9,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_nn
0.0,9773992,1024,9544.9,9568.0,7616,11136,699.7,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.0,7474248,166,45025.6,45376.0,42176,47297,1251.9,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x64_64x3_nn_align2>(T1::Params)
0.0,7067684,166,42576.4,42912.5,38657,45152,1437.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_32x3_tn_align2>(T1::Params)
0.0,6356040,1050,6053.4,5872.0,4640,7872,846.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_nn_align8>(T1::Params)
0.0,5926827,1048,5655.4,5456.0,4191,7296,994.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align2>(T1::Params)
0.0,5879743,4197,1400.9,1408.0,1247,1632,54.9,cast_u8_f32
0.0,5244306,1048,5004.1,5056.0,4447,5504,201.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
0.0,4049946,1142,3546.4,3040.0,2720,26496,3188.0,is_u32_bf16
0.0,1518408,128,11862.6,11888.0,11392,12256,177.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
