Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.6,2102959979,9641,218126.7,82432.0,2623,97364501,1016045.7,ucopy_bf16
12.2,437547202,4160,105179.6,76960.0,74912,1807528,212547.7,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
6.6,238211328,5120,46525.7,38944.0,10177,78080,23954.9,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
3.8,134928199,2048,65882.9,66784.0,62624,68000,1730.9,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
2.3,83463874,26202,3185.4,2720.0,1312,108673,7832.8,bmul_f32
1.6,58939292,1536,38371.9,37856.0,37312,40960,988.0,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
1.6,57062797,11481,4970.2,5504.0,2367,46400,4531.5,fast_sum_f32
1.1,40497172,22682,1785.4,1440.0,1151,58176,2630.4,cast_bf16_f32
0.9,33521361,16433,2039.9,1312.0,1151,62720,2668.2,cast_f32_bf16
0.9,32903424,23010,1430.0,1280.0,1184,56064,2069.0,affine_f32
0.8,29000003,7872,3683.9,2688.0,2240,70400,6534.2,ucopy_f32
0.7,23829644,6216,3833.6,1824.0,1504,59904,6243.6,bmul_bf16
0.7,23562934,11081,2126.4,1568.0,1215,78816,6692.3,badd_f32
0.7,23442994,1536,15262.4,15264.0,14720,15392,58.9,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.6,22590104,97,232887.7,187009.0,185089,4337618,421150.3,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
0.5,16885546,9945,1697.9,1376.0,1280,28033,2677.2,usqr_f32
0.5,16531213,9945,1662.3,1472.0,1247,58113,2957.4,urecip_f32
0.4,15633347,512,30533.9,30784.0,27360,31201,869.8,"void kiln_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
0.4,14091805,3120,4516.6,3520.0,3169,70336,7821.6,bdiv_f32
0.4,13806139,9945,1388.2,1376.0,1247,2528,53.7,usqrt_f32
0.4,13186070,5168,2551.5,2784.0,1375,3104,518.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
