NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,17413,17413,0,9585,2101139299,219211.2,281825.0,2623,97364501,1018909.1,ucopy_bf16
,,17413,17413,0,1536,102719530,66874.7,66848.0,66528,67648,176.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
,,17413,17413,0,1536,59738538,38892.3,38880.0,38497,39488,118.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
,,17413,17413,0,17752,59454768,3349.2,2720.0,1312,108673,9002.8,bmul_f32
,,17413,17413,0,1536,58939292,38371.9,37856.0,37312,40960,988.0,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
,,17413,17413,0,7256,31354761,4321.2,2400.0,2367,46400,4867.1,fast_sum_f32
,,17413,17413,0,7872,29000003,3683.9,2688.0,2240,70400,6534.2,ucopy_f32
,,17413,17413,0,14232,27124032,1905.8,1376.0,1151,58176,3193.9,cast_bf16_f32
,,17413,17413,0,12208,27038100,2214.8,1312.0,1151,62720,2896.7,cast_f32_bf16
,,17413,17413,0,5696,22807371,4004.1,1824.0,1504,59904,6435.9,bmul_bf16
,,17413,17413,0,14560,21531104,1478.8,1280.0,1184,56064,2597.9,affine_f32
,,17413,17413,0,6856,16407652,2393.2,1281.0,1215,78816,8497.2,badd_f32
,,17413,17413,0,3120,14091805,4516.6,3520.0,3169,70336,7821.6,bdiv_f32
,,17413,17413,0,7800,12034884,1542.9,1280.0,1183,55520,3219.7,uneg_f32
,,17413,17413,0,7008,11947317,1704.8,1440.0,1216,56320,3427.1,uexp_f32
,,17413,17413,0,5720,10495871,1834.9,1504.0,1311,58113,3890.3,urecip_f32
,,17413,17413,0,5720,9882525,1727.7,1344.0,1280,28033,3051.6,usqr_f32
,,17413,17413,0,3072,8576489,2791.8,2831.5,2495,3200,246.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
,,17413,17413,0,65,8457958,130122.4,130112.0,128609,133600,754.8,fast_argmax_bf16
,,17413,17413,0,5720,7899162,1381.0,1376.0,1247,2528,62.3,usqrt_f32
,,17413,17413,0,3640,7471208,2052.5,1664.0,1311,56097,4872.6,urecip_bf16
,,17413,17413,0,3640,7015202,1927.3,1664.0,1311,47488,4135.1,uneg_bf16
,,17413,17413,0,3640,6599008,1812.9,1440.0,1312,48864,4248.0,uexp_bf16
,,17413,17413,0,3640,6399831,1758.2,1376.0,1280,47424,4121.0,affine_bf16
,,17413,17413,0,3120,6275496,2011.4,1600.0,1503,56320,4700.8,copy2d_f32
,,17413,17413,0,3072,5019110,1633.8,1648.0,1567,1697,50.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
,,17413,17413,0,1056,4909401,4649.1,4960.0,3680,6336,689.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
