Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
32.0,168525516,48,3510948.3,86195.5,72301,152060182,21969978.1,:kiln/gdn/in_proj
18.5,97608705,2,48804352.5,48804352.5,50540,97558165,68948302.9,:kiln/lm_head
14.4,75964048,8,9495506.0,500946.5,484912,72412376,25422263.8,:kiln/attn/full/prefill_initial
7.0,36814918,64,575233.1,93170.0,51760,30883253,3849049.3,:kiln/mlp/gate
6.6,34981882,48,728789.2,246361.0,17850,21755089,3111900.8,:kiln/gdn/conv
4.1,21528187,48,448503.9,190920.5,166751,7902112,1105713.9,:kiln/gdn/qk_norm
3.4,17775372,48,370320.3,261196.0,205800,799522,183567.9,:kiln/gdn/gates
2.3,12026976,48,250562.0,221655.5,199151,1467774,180957.1,:kiln/gdn/gated_norm
2.1,11055989,64,172749.8,78095.5,50370,432831,130716.4,:kiln/mlp/up
1.9,10216797,16,638549.8,623706.5,360221,1017473,281336.0,:kiln/attn/rope
1.5,7897551,128,61699.6,16955.5,12440,316961,97946.0,:kiln/residual
1.4,7302611,64,114103.3,74065.0,48541,504232,116004.5,:kiln/mlp/down
0.9,4639295,48,96652.0,28495.0,1410,295291,120792.1,:kiln/gdn/qkv_split
0.5,2663855,24,110994.0,107745.5,83550,165090,17326.3,:kiln/attn/gdn/chunk_prep
0.5,2593376,64,40521.5,18755.0,15710,1293034,159237.1,:kiln/norm/pre_attn
0.5,2436637,16,152289.8,95515.0,38840,291620,119482.7,:kiln/proj/qkv_split
0.4,2229527,16,139345.4,127645.5,108890,275881,46137.5,:kiln/proj/qkv
0.4,1970235,48,41046.6,40735.0,33960,56000,4544.5,:kiln/gdn/head_expand
0.3,1784471,48,37176.5,32705.0,25300,197351,24733.1,:kiln/gdn/out_proj
0.3,1400614,8,175076.8,172745.5,166441,194271,8731.9,:kiln/attn/full/decode_fused
0.3,1346303,64,21036.0,19935.0,16450,42440,4699.7,:kiln/norm/pre_mlp
0.2,1161433,24,48393.0,37290.0,27250,311991,56374.6,:kiln/attn/gdn/chunk
0.1,621111,24,25879.6,20025.0,19450,141421,24650.6,:kiln/attn/gdn/recurrent
0.1,587241,16,36702.6,35135.0,30220,57020,6692.7,:kiln/attn/qk_norm
0.1,513894,16,32118.4,32115.0,24331,53890,7100.5,:kiln/proj/o
0.1,489321,48,10194.2,9905.0,8540,14010,1413.3,:kiln/gdn/recur_prep
0.1,344441,16,21527.6,19805.0,15790,41090,6528.8,:kiln/kv/copy
0.0,161700,16,10106.3,9425.0,380,22150,9985.5,:kiln/attn/qkv_transpose
0.0,44090,48,918.5,1000.0,290,2440,480.7,:kiln/gdn/post_transpose
0.0,34040,24,1418.3,1225.0,910,4480,694.7,:kiln/attn/gdn/precopy
0.0,3250,8,406.3,380.0,280,630,108.2,:kiln/attn/q_fa_transpose
