Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.4,372272123,5585,66655.7,10304.0,2848,104958822,1407662.6,ucopy_bf16
13.6,328469891,13312,24674.7,24480.0,21664,26784,1128.1,"void Marlin<(int)256, (int)1, (int)8, (int)8, (int)4, (int)8>(const int4 *, const int4 *, int4 *, const int4 *, int, int, int, int *)"
11.5,277355224,129,2150040.5,2149831.0,2142983,2156071,2100.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
9.3,225614340,3072,73442.2,73409.0,72768,74464,241.4,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
8.8,211755639,6144,34465.4,45088.5,11808,47104,15788.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
5.0,119996253,3072,39061.3,39008.0,38304,40320,290.4,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
2.9,69282367,23865,2903.1,3008.0,1504,73728,3655.0,bmul_f32
2.7,64180386,17648,3636.7,1376.0,1312,276833,20790.0,cast_bf16_f32
2.5,61202765,10449,5857.3,6752.0,1792,22304,2007.6,"<unnamed>::fused_rmsnorm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
2.5,61111099,168,363756.5,362385.5,361697,400609,5380.4,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
2.1,51338911,3072,16711.9,16704.0,16160,16801,56.8,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
2.1,50843660,20640,2463.4,1440.0,1280,63872,2689.3,cast_f32_bf16
2.0,47158497,12456,3786.0,3488.0,2496,75968,5598.1,ucopy_f32
1.4,33446439,1032,32409.3,31552.0,28192,65696,3498.9,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
1.4,32656706,21672,1506.9,1440.0,1312,30912,1377.0,affine_f32
1.1,27482841,9288,2959.0,2624.0,2592,44448,3640.6,fast_sum_f32
1.1,26453667,6192,4272.2,3840.0,3520,70016,5753.9,bdiv_f32
0.9,22629025,13416,1686.7,1408.0,1376,47424,3309.9,cast_f16_bf16
0.9,21457050,13416,1599.4,1440.0,1344,47872,2374.5,cast_bf16_f16
0.8,20332922,6144,3309.4,3376.0,2912,3840,315.2,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
0.8,19245311,129,149188.5,149248.0,145536,154977,1691.8,fast_argmax_bf16
0.8,19173692,9312,2059.0,1664.0,1440,58208,4723.7,bmul_bf16
0.8,18355971,104,176499.7,178288.5,170721,180289,3267.7,"void Marlin<(int)256, (int)4, (int)16, (int)4, (int)4, (int)8>(const int4 *, const int4 *, int4 *, const int4 *, int, int, int, int *)"
0.8,18328381,12384,1480.0,1408.0,1312,31008,1291.5,uneg_f32
0.7,17213075,11352,1516.3,1408.0,1344,3840,182.8,badd_f32
0.7,16563307,8280,2000.4,2112.0,1536,16608,1272.2,badd_bf16
0.7,16032108,9288,1726.1,1504.0,1440,31296,2556.9,usqr_f32
0.6,14998953,9288,1614.9,1568.0,1440,31104,1489.8,uexp_f32
0.6,14837784,8256,1797.2,1568.0,1472,50560,3094.2,uexp_bf16
0.6,14735316,8256,1784.8,1536.0,1408,49281,3008.7,uneg_bf16
0.6,14613550,8256,1770.1,1568.0,1472,51168,3132.3,urecip_bf16
0.6,14104687,8256,1708.4,1536.0,1408,49057,3000.6,affine_bf16
0.6,13492068,9288,1452.6,1472.0,1376,1984,47.0,usqrt_f32
0.5,12299424,6144,2001.9,1968.5,1728,2432,242.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.4,10060573,6192,1624.8,1536.0,1440,31200,1831.9,urecip_f32
0.4,9526875,6192,1538.6,1584.0,1344,1888,157.8,bmaximum_f32
0.2,5862767,3072,1908.5,1888.0,1760,2240,76.6,"void <unnamed>::kiln_conv1d_update_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int)"
0.2,4968368,24,207015.3,206992.5,205793,208001,577.7,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
0.2,4565992,3096,1474.8,1472.0,1440,1664,20.6,ulog_f32
0.2,4024588,2256,1783.9,1504.0,1440,8000,966.2,copy2d_bf16
0.2,3872782,104,37238.3,36112.0,31904,42208,2845.7,"void Marlin<(int)256, (int)3, (int)16, (int)4, (int)4, (int)8>(const int4 *, const int4 *, int4 *, const int4 *, int, int, int, int *)"
0.1,3616780,720,5023.3,5504.0,4128,6528,714.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
0.1,3380199,2096,1612.7,1664.0,1504,2304,95.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.1,3292593,2064,1595.2,1696.0,1408,3584,201.6,bsub_f32
0.1,2815338,32,87979.3,87968.0,87297,88704,312.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
0.1,2790531,24,116272.1,116208.5,115968,117120,254.5,"void <unnamed>::gdn_chunk_scan_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.1,2625320,24,109388.3,109344.5,108768,110400,410.7,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn
0.0,1190211,24,49592.1,49520.5,49312,50016,183.0,"void <unnamed>::kiln_conv1d_prefill_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int, int)"
0.0,515554,16,32222.1,32176.0,31712,32928,366.8,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_nn
0.0,426721,129,3307.9,3136.0,3040,25376,1958.6,is_u32_bf16
0.0,334178,24,13924.1,13888.0,13792,14272,114.5,"void <unnamed>::gdn_chunk_prep_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.0,300257,48,6255.4,6400.0,5248,7392,923.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_nn_align8>(T1::Params)
