Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
24.5,442883596,2825,156773.0,9344.0,2655,97506006,1844422.7,ucopy_bf16
10.1,182739925,2082,87771.3,3040.0,1343,841059,202242.0,bmul_f32
7.3,132898346,89,1493239.8,1231845.0,657027,34986707,3601457.3,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
7.0,126938778,12648,10036.3,6752.0,1504,431106,29731.3,bmul_bf16
5.8,104786593,67120,1561.2,1504.0,1280,4544,397.0,copy2d_bf16
4.8,87003533,64,1359430.2,1358294.0,1352166,1391782,6340.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params)
4.1,74454106,1536,48472.7,48257.0,46560,51616,823.5,"<unnamed>::gdn_fwd_sub_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
3.7,66157665,672,98448.9,3168.0,2240,1540007,224577.4,ucopy_f32
3.2,57341838,941,60937.1,1664.0,1216,581474,174732.5,badd_f32
2.5,44976787,861,52237.8,5568.0,2336,329282,105372.6,fast_sum_f32
2.3,41651678,9120,4567.1,4896.0,3648,6624,656.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
2.2,40473105,7349,5507.3,1280.0,1151,442049,26938.8,cast_f32_bf16
2.1,38283133,3266,11721.7,1472.0,1183,444194,51729.2,cast_bf16_f32
1.5,27273138,260,104896.7,76912.5,74913,1805512,212885.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
1.5,26915022,6624,4063.3,1440.0,1247,440898,29058.0,uexp_f32
1.5,26835568,765,35079.2,1408.0,1280,208961,70129.9,usqr_f32
1.4,25392996,240,105804.2,3680.0,3200,536258,204947.3,bdiv_f32
1.3,23387489,48,487239.4,626658.5,201889,671075,203062.7,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
1.2,22344572,1770,12624.1,1313.0,1183,416610,57659.2,affine_f32
1.1,20447649,3392,6028.2,3328.0,1823,131872,15642.0,badd_bf16
0.9,16418461,765,21462.0,1472.0,1280,440674,81644.6,urecip_f32
0.9,16230433,600,27050.7,1344.0,1183,439297,93108.3,uneg_f32
0.8,15367080,320,48022.1,1664.0,1311,421250,127200.1,urecip_bf16
0.8,14768479,320,46151.5,38960.5,10240,77249,23540.7,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
0.7,13476159,320,42113.0,1440.0,1311,379969,111405.1,uexp_bf16
0.7,13228122,320,41337.9,1664.0,1311,370113,108856.8,uneg_bf16
0.7,13036555,320,40739.2,1376.0,1280,368450,107909.4,affine_bf16
0.7,12748626,3152,4044.6,3392.0,1247,40096,1996.1,bsub_f32
0.6,10733263,8,1341657.9,1339526.0,1332742,1357414,9085.7,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
0.6,10443338,240,43513.9,1600.0,1472,425282,125478.1,copy2d_f32
0.5,8458045,128,66078.5,66816.0,62720,68704,1645.3,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
0.4,7981928,3072,2598.3,2624.0,2400,3040,140.3,ge_u32
0.4,7604448,1536,4950.8,4928.0,4704,5536,94.4,ampere_sgemm_32x128_nn
