Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
43.8,835777769,40,20894444.2,32150.0,28979,109528943,42301743.4,kiln/kv/copy
9.5,180215930,160,1126349.6,259074.0,244549,17979676,2080056.1,kiln/norm/pre_attn
8.7,166698461,160,1041865.4,268864.5,246849,6353271,1576107.7,kiln/norm/pre_mlp
8.4,159430677,320,498220.9,30280.0,22910,11406626,1249019.1,kiln/residual
6.7,128706219,1536,83793.1,79934.5,76399,1389066,36041.8,kiln/attn/gdn/chunk
4.7,89378460,160,558615.4,133655.0,122660,11973944,1205260.8,kiln/mlp/gate
4.6,88659324,8,11082415.5,5675788.0,5411354,47407498,14689240.0,kiln/attn/full/prefill
4.5,85537704,160,534610.7,109084.5,102920,5654503,904521.9,kiln/mlp/down
3.2,60851809,160,380323.8,122974.5,115840,1446505,514897.7,kiln/mlp/up
3.0,57228900,5,11445780.0,2138684.0,2104074,48709574,20831109.9,kiln/lm_head
1.3,24260677,40,606516.9,191774.0,186590,3660229,867823.2,kiln/proj/qkv
0.8,15905844,32,497057.6,436324.0,415628,931917,151213.6,kiln/attn/full/decode_fused
0.5,8907073,40,222676.8,76430.0,72840,967767,297133.9,kiln/proj/o
0.3,4937183,96,51429.0,47344.5,44770,220109,21151.4,kiln/attn/gdn/recurrent
0.0,280339,96,2920.2,2210.0,1760,14320,2207.2,kiln/attn/gdn/precopy
