NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,19995,19995,0,319080,66186058137,207427.8,69953.0,2880,713354,240411.3,ucopy_bf16
,,19995,19995,0,46464,3650865354,78574.1,78561.0,77728,83521,270.5,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
,,19995,19995,0,46464,2137948018,46013.0,46016.0,45408,47585,147.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
,,19995,19995,0,46464,2059265662,44319.6,44257.0,43456,46977,325.8,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
,,19995,19995,0,538288,2050036451,3808.4,3008.0,1440,115809,10446.6,bmul_f32
,,19995,19995,0,219824,1053920143,4794.4,2656.0,2560,47841,5467.3,fast_sum_f32
,,19995,19995,0,238848,1000003999,4186.8,3040.0,2464,75553,7527.2,ucopy_f32
,,19995,19995,0,373096,920541379,2467.3,1440.0,1248,65569,3323.2,cast_f32_bf16
,,19995,19995,0,432048,910842764,2108.2,1472.0,1312,60417,3655.7,cast_bf16_f32
,,19995,19995,0,193544,851444904,4399.2,2048.0,1600,60257,7079.6,bmul_bf16
,,19995,19995,0,441280,725883845,1645.0,1376.0,1312,61121,3120.4,affine_f32
,,19995,19995,0,208144,581877092,2795.6,1440.0,1344,86273,10218.9,badd_f32
,,19995,19995,0,94560,481805079,5095.2,3904.0,3488,74049,8986.2,bdiv_f32
,,19995,19995,0,215232,411909412,1913.8,1568.0,1344,61953,4072.1,uexp_f32
,,19995,19995,0,236400,409397402,1731.8,1376.0,1312,60417,3837.8,uneg_f32
,,19995,19995,0,173360,359375713,2073.0,1664.0,1408,63521,4646.6,urecip_f32
,,19995,19995,0,173360,339675441,1959.4,1472.0,1408,31809,3715.5,usqr_f32
,,19995,19995,0,140800,288102591,2046.2,1568.0,1440,51488,4834.5,uexp_bf16
,,19995,19995,0,92928,285125145,3068.2,3104.0,2752,3552,243.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
,,19995,19995,0,140800,285050400,2024.5,1536.0,1376,50049,4666.9,affine_bf16
,,19995,19995,0,1970,281501718,142894.3,142818.0,141122,147010,716.7,fast_argmax_bf16
,,19995,19995,0,125560,274287160,2184.5,1856.0,1408,50464,4580.7,uneg_bf16
,,19995,19995,0,173360,264811868,1527.5,1536.0,1344,2208,70.7,usqrt_f32
,,19995,19995,0,125560,254230794,2024.8,1568.0,1440,52129,4732.7,urecip_bf16
