
NOTICE: Existing SQLite export found: post392-prefill-refined.sqlite
        It is assumed file was previously exported from: post392-prefill-refined.nsys-rep
        Consider using --force-export=true if needed.

Processing [post392-prefill-refined.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.6,217755499,635,342922.0,343841.0,325216,401184,13735.9,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
10.6,66842465,171,390891.6,392097.0,31904,549216,142200.5,"void Marlin<(int)256, (int)4, (int)16, (int)4, (int)4, (int)8>(const int4 *, const int4 *, int4 *, const int4 *, int, int, int, int *)"
10.0,63025390,63,1000403.0,1038050.0,8352,1745762,649510.6,bmul_f32
7.5,47089237,3858,12205.6,9280.0,2592,2084099,87274.6,ucopy_bf16
4.4,27978785,41,682409.4,1156770.0,3456,1160129,572407.1,badd_f32
4.0,25303007,37,683865.1,591425.0,5664,2987683,568919.1,ucopy_f32
2.5,15998165,12,1333180.4,1334545.5,1303554,1364482,24321.5,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
2.3,14662547,6,2443757.8,2441155.5,2426147,2471459,15939.9,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
1.9,11787127,2550,4622.4,4863.5,3711,5760,658.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
1.7,10544049,39,270360.2,6368.0,1407,883681,333668.7,cast_bf16_f32
1.7,10470572,10,1047057.2,1047729.5,1036129,1060929,8331.6,bdiv_f32
1.6,10178316,18,565462.0,798080.5,16736,837857,365007.5,bmul_bf16
1.6,9961035,19,524265.0,673569.0,188064,707424,231881.8,cast_f16_bf16
1.5,9706254,15,647083.6,657185.0,612321,667713,22046.9,fast_sum_f32
1.3,8407595,40,210189.9,4384.0,3168,834433,295992.8,affine_f32
1.3,8038917,32,251216.2,339472.5,2976,976289,203760.4,cast_f32_bf16
1.1,7039788,26,270761.1,3200.5,1344,830370,347409.2,uneg_f32
1.0,6598023,19,347264.4,192481.0,188288,707713,233606.2,cast_bf16_f16
1.0,6290026,20,314501.3,207264.5,1505,843617,355546.1,uexp_f32
1.0,6253737,15,416915.8,414945.0,3040,833697,349986.6,urecip_f32
1.0,6218118,15,414541.2,415841.0,410048,418208,3074.6,usqr_f32
0.8,5156519,1,5156519.0,5156519.0,5156519,5156519,0.0,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
0.8,5090022,12,424168.5,417856.5,2656,854593,439860.1,copy2d_f32
0.8,4738212,12,394851.0,530976.0,3265,760065,362457.4,urecip_bf16
0.7,4669319,12,389109.9,522592.5,3520,748481,357047.5,uexp_bf16
0.7,4563432,12,380286.0,510064.5,4352,729537,348070.4,uneg_bf16
0.7,4510438,12,375869.8,505408.5,3072,722049,345127.7,affine_bf16
0.4,2819400,642,4391.6,4065.0,3488,92320,4920.0,copy2d_bf16
0.4,2736193,17,160952.5,222112.0,4768,232832,103925.8,badd_bf16
